key_length,time_taken,shared_key,guessed_key,p,alpha,private_a,private_b,public_a,public_b
14,0.164508104,13019,13019,1117939,420715,241657,7513,357709,502331
15,0.311629772,17156,17156,3399509,1718509,115102,502795,1788968,2193306
16,0.196474791,36618,36618,973547,411177,922731,10396,624873,575898
17,0.041888714,80029,80029,281131,177355,196016,144386,106093,213605
18,0.03005743,186324,186324,256499,128450,16949,19625,228214,52491
19,0.099734068,339195,339195,600311,224797,343831,313315,140967,310721
20,0.120157003,829671,829671,1136153,639297,392207,256835,1000473,281281
21,0.937073231,1438941,1438941,10339739,5963917,9263319,3906799,8966278,9592286
22,0.47628212,3407141,3407141,4556557,3037322,4052191,636506,1489263,466129
23,0.559339762,5541847,5541847,6556699,620657,697237,1866925,3610194,1127191
24,1.481300116,16206400,16206400,16775657,13739410,13932977,12203824,15892364,12402219
25,2.188752413,24574989,24574989,25014149,7441439,3028071,17891900,19786923,8969400
26,8.165146112,57250958,57250958,99544409,51616907,92834742,13349541,95363469,60781572
27,19.38815784,106537296,106537296,225944347,113712533,14767875,46639740,81382569,28327427
28,18.29526305,210420537,210420537,222473843,34528899,213112352,204690379,186697050,118263242
29,82.49257898,366693385,366693385,951928619,477937273,311839350,491950173,869729166,469131645
30,80.35196519,868547987,868547987,935788499,712047121,657718066,139855502,182247444,201732522
